name;author;price;referenceToFragment;link
Самодисциплина 2.0;Владимир Якуба;399;https://www.mann-ivanov-ferber.ru/assets/media/files/samodisciplina-20/samodisciplina-20-audio-2.mp3;https://www.mann-ivanov-ferber.ru/books/samodisciplina-20/
Хватит гадать!;Нэт Грин;399;https://www.mann-ivanov-ferber.ru/assets/media/files/hvatit-gadat/03-hvatit-gadat.mp3;https://www.mann-ivanov-ferber.ru/books/hvatit-gadat/
Слон;Питер Карнавас;319;not defined;https://www.mann-ivanov-ferber.ru/books/slon/
Операция «Шедевр»;Роберт Уиттман;399;not defined;https://www.mann-ivanov-ferber.ru/books/operaciya-shedevr/
Откровения оратора;Скотт Беркун;399;https://www.mann-ivanov-ferber.ru/assets/media/files/otkroveniya-oratora/otkroveniya-oratora-audio-3.mp3;https://www.mann-ivanov-ferber.ru/books/otkroveniya-oratora/
Год без покупок;Кейт Фландерс;399;not defined;https://www.mann-ivanov-ferber.ru/books/god-bez-pokupok/
Вопросы — это ответы;Хэл Грегерсен;399;https://www.mann-ivanov-ferber.ru/assets/media/files/voprosy-eto-otvety/000-1.mp3;https://www.mann-ivanov-ferber.ru/books/voprosy-eto-otvety/
Бояться, но делать;Брэндон Уэбб;399;not defined;https://www.mann-ivanov-ferber.ru/books/boyatsya-no-delat/
Магия утра для писателей;Хэл Элрод;399;not defined;https://www.mann-ivanov-ferber.ru/books/magiya-utra-dlya-pisatelej/
Книга зожника;Максим Кудеров;399;https://www.mann-ivanov-ferber.ru/assets/media/files/kniga-zozhnika/kniga-zozhnika-audio-1.mp3;https://www.mann-ivanov-ferber.ru/books/kniga-zozhnika/
Десять минут до дзена;Оуэн О'Кейн;399;not defined;https://www.mann-ivanov-ferber.ru/books/desyat-minut-do-dzena/
Беседы о счастье;Аркадий Панц;399;not defined;https://www.mann-ivanov-ferber.ru/books/besedy-o-schaste/
Дом, который построил семью;Кара Брукинс;399;https://www.mann-ivanov-ferber.ru/assets/media/files/dom-kotoryj-postroil-semyu/02-dom-kotoryj-postroil-semyu.mp3;https://www.mann-ivanov-ferber.ru/books/dom-kotoryj-postroil-semyu/
По большому счету;Евгения Письменная;399;not defined;https://www.mann-ivanov-ferber.ru/books/po-bolshomu-schetu/
Игра как жизнь;Ута Хаген;399;https://www.mann-ivanov-ferber.ru/assets/media/files/igra-kak-zhizn/igra-kak-zhizn-audio-3.mp3;https://www.mann-ivanov-ferber.ru/books/igra-kak-zhizn/
Бизнес на свои;Сергей Абдульманов;399;not defined;https://www.mann-ivanov-ferber.ru/books/biznes-na-svoi/
Магия утра для финансовой свободы;Хэл Элрод;399;not defined;https://www.mann-ivanov-ferber.ru/books/magiya-utra-dlya-finansovoj-svobody/
Не сходите с ума на работе;Джейсон Фрайд;324;not defined;https://www.mann-ivanov-ferber.ru/books/ne-shodite-s-uma-na-rabote/
Спасите котика!;Блейк Снайдер;319;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/spasite_kota_mp3/00_Vvedenie.mp3;https://www.mann-ivanov-ferber.ru/books/spasite-kotika/
Я ненавижу свою шею;Нора Эфрон;324;not defined;https://www.mann-ivanov-ferber.ru/books/ya-nenavizhu-svoyu-sheyu/
Встань и скажи;Нина Зверева;399;not defined;https://www.mann-ivanov-ferber.ru/books/vstan-i-skazhi/
Принцип ставок;Энни Дьюк;399;https://www.mann-ivanov-ferber.ru/assets/media/files/princip-stavok/princip-stavok-02.mp3;https://www.mann-ivanov-ferber.ru/books/princip-stavok/
Месяц на пределе;Джесси Ицлер;399;https://www.mann-ivanov-ferber.ru/assets/media/files/mesyac-na-predele/mesyac-na-predele-audio-4.mp3;https://www.mann-ivanov-ferber.ru/books/mesyac-na-predele/
Кролик, который хочет уснуть;Карл-Йохан Форссен Эрлин;279;not defined;https://www.mann-ivanov-ferber.ru/books/krolik-kotoryj-hochet-usnut/
Инкогнито;Дэвид Иглмен;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/inkognito/inkognito-1_audio.mp3;https://www.mann-ivanov-ferber.ru/books/inkognito/
Паша и папа говорят о животных;Сюзанна Вебер;319;https://www.mann-ivanov-ferber.ru/assets/media/files-2/pasha-i-papa-govoryat-o-zhivotnyh/pasha-i-papa-govoryat-o-zhivotnyh-06.mp3;https://www.mann-ivanov-ferber.ru/books/pasha-i-papa-govoryat-o-zhivotnyh/
Магия утра для влюбленных;Хэл Элрод;399;not defined;https://www.mann-ivanov-ferber.ru/books/magiya-utra-dlya-vlyublennyh/
HBR Guide. Эмоциональный интеллект;Harvard Business Review;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/hbr-guide/HBRguide.mp3;https://www.mann-ivanov-ferber.ru/books/hbr-guide/
Большой потенциал;Шон Эйкор;399;not defined;https://www.mann-ivanov-ferber.ru/books/bolshoj-potencial/
Помощь;Эдгар Г. Шейн;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/pomosh/pomosh-2-audio.mp3;https://www.mann-ivanov-ferber.ru/books/pomosh/
Говорить легко!;Кэрол Флеминг;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/govorit-legko/govorit-legko_audio.mp3;https://www.mann-ivanov-ferber.ru/books/govorit-legko/
Максимальный заряд;Том Рат;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/maksimalnyj-zaryad/maksimalnyj-zaryad-3-audio.mp3;https://www.mann-ivanov-ferber.ru/books/maksimalnyj-zaryad/
45 татуировок личности;Максим Батырев (Комбат);324;https://www.mann-ivanov-ferber.ru/assets/media/files-2/45-tatuirovok-lichnosti/45-tatuirovok-lichnosti.mp3;https://www.mann-ivanov-ferber.ru/books/45-tatuirovok-lichnosti/
Машина, платформа, толпа;Эндрю Макафи, Эрик Бриньолфсон;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/mashina-platforma-tolpa/mashina-platforma-tolpa.mp3;https://www.mann-ivanov-ferber.ru/books/mashina-platforma-tolpa/
Похищая огонь;Стивен Котлер;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/pohishaya-ogon/pohishaya-ogon.mp3;https://www.mann-ivanov-ferber.ru/books/pohishaya-ogon/
Магия утра для всей семьи;Хэл Элрод;399;not defined;https://www.mann-ivanov-ferber.ru/books/magiya-utra-dlya-vsej-semi/
Будет сделано!;Никита Маклахов;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/budet-sdelano/budet-sdelano-audio.mp3;https://www.mann-ivanov-ferber.ru/books/budet-sdelano/
Без стресса;Митху Сторони;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/bez-stressa/bez-stressa-9-audio.mp3;https://www.mann-ivanov-ferber.ru/books/bez-stressa/
Простые правила;Кэтлин Эйзенхардт;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/prostye-pravila/prostye-pravila-1-audio.mp3;https://www.mann-ivanov-ferber.ru/books/prostye-pravila/
Машина правды;Пол Винья;239;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/mashina-pravdyi/mashina-pravdyi.mp3;https://www.mann-ivanov-ferber.ru/books/mashina-pravdyi/
Строим доверие по методикам спецслужб;Робин Дрик;399;not defined;https://www.mann-ivanov-ferber.ru/books/stroim-doverie-po-metodikam-speczsluzhb/
Максимальная энергия;Триша Вулфри;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/maksimalnaya-energiya/Celi-i-prioritety-06.mp3;https://www.mann-ivanov-ferber.ru/books/maksimalnaya-energiya/
Миф о мотивации;Джефф Хейден;239;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/mif-o-motivaczii/01-mif-o-motivaczii.mp3;https://www.mann-ivanov-ferber.ru/books/mif-o-motivaczii/
Переход к голубому океану;Чан Ким;239;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/perexod-k-golubomu-okeanu/perexod-k-golubomu-okeanu_audio.mp3;https://www.mann-ivanov-ferber.ru/books/perexod-k-golubomu-okeanu/
Путь выдающихся людей;Брендон Берчард;239;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/put-vyidayushhixsya-lyudej/za-granju-estestvennogo.mp3;https://www.mann-ivanov-ferber.ru/books/put-vyidayushhixsya-lyudej/
Работа как внутренняя игра;Тимоти Голви;239;not defined;https://www.mann-ivanov-ferber.ru/books/rabota-kak-vnutrennyaya-igra/
Сила момента;Чип Хиз и Дэн Хиз;239;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/sila-momenta/sila-momenta_audio.mp3;https://www.mann-ivanov-ferber.ru/books/sila-momenta/
Личные границы;Дженни Миллер;399;not defined;https://www.mann-ivanov-ferber.ru/books/lichnyie-graniczyi/
Философия хорошей жизни;Рольф Добелли;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/filosofiya-xoroshej-zhizni/25-filosofiya-xoroshej-zhizni.mp3;https://www.mann-ivanov-ferber.ru/books/filosofiya-xoroshej-zhizni/
Спираль обучения;Митчел Резник;239;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/spiral-obucheniya/spiral-obucheniya-glava2.mp3;https://www.mann-ivanov-ferber.ru/books/spiral-obucheniya/
Лифт настроения;Ларри Сенн;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/lift-nastroeniya/02lift-nastroeniya.mp3;https://www.mann-ivanov-ferber.ru/books/lift-nastroeniya/
SuperBetter;Джейн Макгонигал;399;not defined;https://www.mann-ivanov-ferber.ru/books/superbetter/
И ботаники делают бизнес 1+2;Максим Котин;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/i_botaniki_delayut_biznes_2/04-i_botaniki_delayut_biznes_2.mp3;https://www.mann-ivanov-ferber.ru/books/i_botaniki_delayut_biznes_2/
Привычки на всю жизнь;Шон Янг;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/privyichki-na-vsyu-zhizn/privyichki-na-vsyu-zhizn.mp3;https://www.mann-ivanov-ferber.ru/books/privyichki-na-vsyu-zhizn/
Управляй гормонами счастья;Лоретта Грациано Бройнинг;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/upravlyaj_gormonami_schastya/02upravlyaj_gormonami_schastya.mp3;https://www.mann-ivanov-ferber.ru/books/upravlyaj_gormonami_schastya/
Паша и папа в дороге;Сюзанна Вебер;319;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/pasha-i-papa-v-doroge/02pasha-i-papa-v-doroge.mp3;https://www.mann-ivanov-ferber.ru/books/pasha-i-papa-v-doroge/
Обними меня крепче;Сью Джонсон;324;https://www.mann-ivanov-ferber.ru/assets/media/files/obnimi-menya-krepche/001-02-obnimi-menya-krepche.mp3;https://www.mann-ivanov-ferber.ru/books/obnimi-menya-krepche/
Коучинг agile-команд;Лисса Адкинс;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/kouching-agile-komand/Kouching%20agile-komand.mp3;https://www.mann-ivanov-ferber.ru/books/kouching-agile-komand/
Правила жизни Брюса Ли;Брюс Ли;239;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/pravila-zhizni-bryusa-li/06pravila-zhizni-bryusa-li.mp3;https://www.mann-ivanov-ferber.ru/books/pravila-zhizni-bryusa-li/
100 способов изменить жизнь. Часть вторая;Лариса Парфентьева;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/100-sposobov-izmenit-zhizn-chast-vtoraya/01-100-sposobov-izmenit-zhizn-chast-vtoraya.mp3;https://www.mann-ivanov-ferber.ru/books/100-sposobov-izmenit-zhizn-chast-vtoraya/
Бережливое производство + шесть сигм в сфере услуг;Майкл Джордж;399;not defined;https://www.mann-ivanov-ferber.ru/books/paperbook/berelivoe/
Бизнесхак на каждый день;Игорь Манн;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/biznesxak-na-kazhdyij-den/03-biznesxak-na-kazhdyij-den.mp3;https://www.mann-ivanov-ferber.ru/books/biznesxak-na-kazhdyij-den/
Как разговаривать с мудаками;Марк Гоулстон;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/kak-razgovarivat-s-mudakami/kak-razgovarivat-s-mudakami.mp3;https://www.mann-ivanov-ferber.ru/books/kak-razgovarivat-s-mudakami/
Лидер и племя;Дэйв Логан;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/lider-i-plemya/lider-i-plemya-audio.mp3;https://www.mann-ivanov-ferber.ru/books/lider-i-plemya/
Евангелист бизнеса;Сергей Абдульманов;399;not defined;https://www.mann-ivanov-ferber.ru/books/evangelist-biznesa/
Парадокс страсти;Дин Делис;399;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/paradoks-strasti/03_v-poiskah-garmonii.mp3;https://www.mann-ivanov-ferber.ru/books/paradoks-strasti/
Новые размышления о личном развитии;Ицхак Адизес;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/novye-razmyshleniya-o-lichnom-razvitii/Novie_razmishleniya_o_lichnom_razvitii.mp3;https://www.mann-ivanov-ferber.ru/books/novye-razmyshleniya-o-lichnom-razvitii/
О чем мечтать;Барбара Шер;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/o-chem-mechtat/o-chem-mechtat.mp3;https://www.mann-ivanov-ferber.ru/books/i_could_do_anything/
Размышления о личном развитии;Ицхак Адизес;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/novye-razmyshleniya-o-lichnom-razvitii/razmyshleniya-o-lichnom-razvitii.mp3;https://www.mann-ivanov-ferber.ru/books/razmyshleniya_o_lichnom_razvitii/
Мечтать не вредно;Барбара Шер;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/i-could-do-anything/Mechtat%20ne%20vredno.mp3;https://www.mann-ivanov-ferber.ru/books/mechtat_ne_vredno/
Важные годы;Мэг Джей;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/opredelyayushhie_10_let/Vazhnie_godi.mp3;https://www.mann-ivanov-ferber.ru/books/opredelyayushhie_10_let/
Правила мозга;Джон Медина;319;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/pravila_mozga/00_Vstuplenie_pravila_mozga.mp3;https://www.mann-ivanov-ferber.ru/books/pravila_mozga/
Remote. Офис не обязателен;Джейсон Фрайд;319;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/remote-office-not-required/01_Glava%201.%20Prishlo%20vremia%20udalennoi%20raboty.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/remote-office-not-required/
К черту все! Берись и делай!;Ричард Брэнсон;399;not defined;https://www.mann-ivanov-ferber.ru/books/k_chertu_vse/
Потешки и пестушки;not defined;239;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/tales/01prosypaemsya.mp3;https://www.mann-ivanov-ferber.ru/books/children/tales/
Умение слушать;Бернард Феррари;319;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/power_listening_mp3/02_Vvedenie.mp3;https://www.mann-ivanov-ferber.ru/books/mif/oower-listening/
Сердце компании;Патрик Ленсиони;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/advantage/serdce_kompanii.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/advantage/
Харизма лидера;Радислав Гандапас;456;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/charismatic_leader_mp3/vstuplenie.mp3;https://www.mann-ivanov-ferber.ru/books/secrets_of_the_great/charismatic-leader/
Школа Зоков и Бады;Ирина и Леонид Тюхтяевы;280;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/schkola-zokov-i-badi-mp3/1.mp3;https://www.mann-ivanov-ferber.ru/books/children/schkola-zokov-i-badi/
Отношение определяет результат;Дов Сайдман;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/how/how.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/how/
Бизнес в стиле Virgin;Ричард Брэнсон;399;not defined;https://www.mann-ivanov-ferber.ru/books/paperbook/virgin/
Слон на танцполе;Евгений Карасюк;456;https://www.mann-ivanov-ferber.ru/assets/images/content/books/audio/slon-mp3/000_foreword.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/slon/
Как гибнут великие;Джим Коллинз;456;https://www.mann-ivanov-ferber.ru/assets/images/content/books/audio/how-the-mighty-fall_mp3/m00.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/how-the-mighty-fall_1/
Новая цель;Ди Джейкоб;359;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/velcty/velcty.mp3;https://www.mann-ivanov-ferber.ru/books/biznesroman/velcty/
Гении и аутсайдеры;Малкольм Гладуэлл;360;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/the-story-of-succes-mp3/vvedenie.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/story-succes/
Выбор сильнейших;Клаудио Фернандес Араос;399;not defined;https://www.mann-ivanov-ferber.ru/books/mif/greatpeopledecisions/
Афоризмы о пути к успеху (mp3);not defined;280;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/009a/track9.mp3;https://www.mann-ivanov-ferber.ru/books/audio/009a/
Построенные навечно;Джим Коллинз;456;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/built_to_last_11CD/2.mp3;https://www.mann-ivanov-ferber.ru/books/sse/built-last/
Пятничный менеджер;not defined;336;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/005a/01.mp3;https://www.mann-ivanov-ferber.ru/books/mif/021/
